"","ID","CHR","MAPINFO","Strand","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group","UCSC_CpG_Islands_Name","Relation_to_UCSC_CpG_Island","GencodeBasicV12_NAME","GencodeBasicV12_Accession","GencodeBasicV12_Group","GencodeCompV12_NAME","GencodeCompV12_Accession","GencodeCompV12_Group","DNase_Hypersensitivity_NAME","DNase_Hypersensitivity_Evidence_Count","OpenChromatin_NAME","OpenChromatin_Evidence_Count","TFBS_NAME","TFBS_Evidence_Count","Phantom4_Enhancers","Phantom5_Enhancers","custom_Name","custom_Accession","custom_Group"
"1","cg25706713","15",25067627,"F","SNRPN","NM_022808","TSS1500","","","SNRPN","ENST00000400098.1","TSS1500","SNRPN","ENST00000400098.1","TSS1500","",NA,"",NA,"",NA,"","","SNRPN","NM_022808","TSS1500"
"2","cg25593794","1",3591248,"F","TP73","NM_005427","5'UTR","","","TP73","ENST00000378295.4","5'UTR","TP73","ENST00000378295.4","5'UTR","",NA,"chr1:3589145-3592540",6,"chr1:3587362-3596032",6,"","","TP73","NM_005427","5'UTR"
"3","cg20655644","15",79254454,"R","RASGRF1","NM_153815","3'UTR","","","RASGRF1","ENST00000558480.2","3'UTR","RASGRF1","ENST00000558480.2","3'UTR","",NA,"",NA,"",NA,"","","RASGRF1","NM_153815","3'UTR"
"4","cg08193650","2",43451868,"R","ZFP36L2","NM_006887","Body","chr2:43451445-43454951","Island","","","","","","","chr2:43451700-43453630",3,"",NA,"",NA,"high-CpG:43305097-43307854","","ZFP36L2","NM_006887","Body"
"5","cg25188071","20",57393277,"F","MIR296","NR_029844","TSS1500","","","MIR296","ENST00000385215.1","TSS1500","MIR296","ENST00000385215.1","TSS1500","chr20:57393185-57393475",3,"",NA,"",NA,"","","MIR296","NR_029844","TSS1500"
"6","cg17797074","7",78151387,"F","MAGI2","NM_001301128","Body","","","MAGI2","ENST00000517762.1","TSS1500","MAGI2","ENST00000517762.1","TSS1500","",NA,"",NA,"",NA,"","","MAGI2","NM_001301128","Body"
"7","cg05385260","11",2922852,"F","SLC22A18AS","NM_007105","5'UTR","chr11:2923301-2923817","N_Shore","SLC22A18AS","ENST00000533594.1","5'UTR","SLC22A18AS","ENST00000533594.1","5'UTR","",NA,"chr11:2922357-2926306",6,"chr11:2922427-2926310",6,"","","SLC22A18AS","NM_007105","5'UTR"
"8","cg05772555","10",67940403,"R","CTNNA3","NM_013266","Body","","","","","","","","","",NA,"chr10:67940229-67941092",6,"chr10:67939935-67941145",6,"","","CTNNA3","NM_013266","Body"
"9","cg11466857","20",13253578,"R","ISM1","NM_080826","Body","","","TASP1","ENST00000539805.1","3'UTR","TASP1","ENST00000539805.1","3'UTR","",NA,"",NA,"",NA,"","","ISM1","NM_080826","Body"
"10","cg21063296","19",10304422,"F","DNMT1","NM_001130823","Body","chr19:10304966-10305864","N_Shore","","","","","","","chr19:10304405-10305195",3,"",NA,"",NA,"","chr19:10304383-10304383","DNMT1","NM_001130823","Body"
"11","cg04779428","20",57463355,"F","GNAS","NM_001077490","3'UTR","chr20:57463652-57467739","N_Shore","GNAS","ENST00000371098.2","3'UTR","GNAS","ENST00000488546.1","TSS1500","chr20:57463225-57463495",3,"",NA,"",NA,"","","GNAS","NM_001077490","3'UTR"
"12","cg13051700","7",79050007,"R","MAGI2","NM_012301","Body","","","","","","","","","chr7:79049800-79050070",3,"",NA,"",NA,"","","MAGI2","NM_012301","Body"
"13","cg15648389","12",54448769,"F","HOXC4","NM_153633","Body","chr12:54447744-54448091","S_Shore","","","","","","","",NA,"chr12:54443564-54449278",6,"chr12:54443683-54448833",6,"","","HOXC4","NM_153633","Body"
"14","cg15504461","3",147140880,"R","","","","chr3:147142181-147142391","N_Shore","ZIC1","ENST00000474034.1","5'UTR","ZIC1","ENST00000472523.1","5'UTR","chr3:147140385-147142435",3,"",NA,"",NA,"","","ZIC1","ENST00000474034.1","5'UTR"
"15","cg01919204","8",145729149,"F","GPT","NM_005309","TSS1500","chr8:145730390-145732205","N_Shore","GPT","ENST00000394955.2","TSS1500","CTD-2517M22.14","ENST00000527086.1","5'UTR","chr8:145728145-145729195",3,"",NA,"",NA,"","","GPT","NM_005309","TSS1500"
